GRB;designation;z;E_iso(1e52 erg);instrument;GCN;ra(deg);dec(deg);error radius(arcsec);trigger time(UT)
140614A;IBdHNe 140614A;4.233;7.3;Swift;16402;231.169;-79.129;1.4;2014-06-14 01:04:59.000
140629A;IBdHNe 140629A;2.275;6.15;KW;16495;248.977;41.877;144.0;2014-06-29 14:17:30.000
140703A;IBdHNe 140703A;3.14;1.72;Fermi;16512;12.996;45.102;1.4;2014-07-03 00:37:17.000
140907A;IBdHNe 140907A;1.21;2.29;Fermi;16798;48.146;46.605;144.0;2014-09-07 16:07:08.000
140620A;IBdHNe 140620A;2.04;6.22;Fermi;16426;224.996;55.313;144.0;2014-10-20 07:48:39.000
140226A;IBdHNe 140226A;1.98;5.8;KW;15889;44.084;26.928;1.6;2014-10-26 02:36:51.000
141026A;IBdHNe 141026A;3.35;7.17;Swift;16960;44.084;26.928;1.6;2014-10-26 02:36:51.000
141109A;IBdHNe 141109A;2.993;5.05;KW;17055;144.531;-0.608;1.4;2014-11-09 05:49:55.000
141121A;IBdHNe 141121A;1.47;14.6;KW;17108;122.669;22.217;144.0;2014-11-21 03:50:43.000
141221A;IBdHNe 141221A;1.452;1.94;Fermi;17216;198.287;8.205;144.0;2014-12-21 08:07:10.000
150206A;IBdHNe 150206A;2.087;151.0;KW;17427;10.074;-63.182;144.0;2015-02-06 14:30:02.000
150314A;IBdHNe 150314A;1.758;98.1;Fermi;17579;126.67;63.834;1.7;2015-03-14 04:55:16.000
150403A;IBdHNe 150403A;2.06;91.0;Fermi;17674;311.505;-62.711;144.0;2015-04-03 21:54:16.000
150514A;IBdHNe 150514A;0.807;1.14;Fermi;17819;49.044;-22.868;60.0;2015-05-13 20:31:19.000
120711A;IBdHNe 120711A;1.41;166.0;Fermi;13437;221.627;-35.456;1.5;2015-07-11 18:23:03.000
150821A;IBdHNe 150821A;0.755;15.1;Fermi;18190;341.913;-57.894;144.0;2015-08-21 09:44:00.000
150910A;IBdHNe 150910A;1.36;22.3;Swift;18268;5.667;33.473;144.0;2015-09-10 09:04:48.000
151021A;IBdHNe 151021A;2.33;211.0;KW;18433;337.643;-33.197;144.0;2015-10-21 01:29:12.000
151027A;IBdHNe 151027A;0.81;3.86;Fermi;18492;272.487;61.353;1.4;2015-10-27 03:58:24.000
151027B;IBdHNe 151027B;4.063;19.1;Swift;18514;76.219;-6.45;1.4;2015-10-27 22:40:40.000
151111A;IBdHNe 151111A;3.5;5.13;Fermi;18582;56.845;-44.161;1.5;2015-11-11 08:33:23.000
151112A;IBdHNe 151112A;4.1;12.4;Swift;18593;2.054;-61.663;1.5;2015-11-12 13:44:48.000
151215A;IBdHNe 151215A;2.59;1.97;Swift;18699;93.584;35.516;144.0;2015-12-15 03:01:28.000
160121A;IBdHNe 160121A;1.96;2.62;Swift;18919;109.088;-23.592;1.5;2016-01-21 13:50:37.000
160131A;IBdHNe 160131A;0.972;60.4;KW;18974;78.168;-7.05;144.0;2016-01-31 08:20:31.000
160203A;IBdHNe 160203A;3.52;12.4;Swift;18998;161.951;-24.789;1.5;2016-02-03 02:13:10.000
160227A;IBdHNe 160227A;2.38;5.69;Swift;19106;194.807;78.679;144.0;2016-02-27 19:32:08.000
160625B;IBdHNe 160625B;1.406;443.0;Fermi;19587;176.916;-65.145;2.2;2016-06-25 22:40:31.000
160623A;IBdHNe 160623A;0.367;23.3;KW;19554;198.259;-56.042;1.4;2016-06-30 04:04:09.000
160509A;IBdHNe 160509A;1.17;82.3;Fermi;19411;235.996;-28.188;144.0;2016-07-09 19:49:03.464
160804A;IBdHNe 160804A;0.736;2.53;Fermi;19769;221.63;9.999;144.0;2016-08-04 01:32:47.000
161017A;IBdHNe 161017A;2.013;7.79;Fermi;20068;142.769;43.127;144.0;2016-10-17 17:51:51.000
131108A;IBdHNe 131108A;2.4;73.0;Fermi;15477;180.788;24.868;1.5;2016-11-08 03:32:33.000
161108A;IBdHNe 161108A;1.159;1.71;Swift;20151;180.788;24.868;1.5;2016-11-08 03:32:33.000
161117A;IBdHNe 161117A;1.549;24.8;Fermi;20192;322.052;-29.614;144.0;2016-11-17 01:35:36.000
161023A;IBdHNe 161023A;2.708;79.8;KW;20111;356.903;19.646;1.4;2016-12-02 23:12:52.000
